rank,model,matches,points,avg_points,exact,goal_diff,tendency,miss,advance_bonus,mae_home,mae_away,mae_total_goals,mean_rps,mean_brier,missing_matches
1,qwen3.6:35b,4,10,2.5,1,0,1,2,4,0.25,0.5,0.75,0.1353,0.5785,
2,gpt-oss:20b,4,10,2.5,1,0,1,2,4,0.25,0.5,0.75,0.188,0.7893,
3,glm-4.7-flash,4,10,2.5,1,0,1,2,4,0.25,0.5,0.75,0.2304,0.9628,
4,gpt-oss:120b,4,10,2.5,1,0,1,2,4,0.25,0.5,0.75,0.25,1.0,
5,mistral-small3.2,4,10,2.5,1,0,1,2,4,0.25,0.5,0.75,0.25,1.0,
6,llama3.1:8b,4,9,2.25,1,0,1,2,3,0.5,0.5,0.5,0.188,0.876,
7,deepseek-r1:32b,4,9,2.25,1,0,1,2,3,0.25,0.5,0.75,0.2283,0.9132,
8,gemma4:26b,4,9,2.25,0,1,1,2,4,0.75,0.5,1.25,0.2695,0.9453,
9,llama3.2:3b,4,7,1.75,0,1,0,3,4,1.5,0.5,2.0,0.2242,0.8306,
10,phi4:14b,4,5,1.25,0,0,1,3,3,0.5,0.75,0.75,0.3595,1.219,
11,llama3.3:70b,4,2,0.5,0,0,0,4,2,0.75,1.0,0.75,0.624,1.7479,
